state,year,t_jan,t_feb,t_mar,t_apr,t_may,t_jun,t_jul,t_aug,t_sep,t_oct,t_nov,t_dec
MN,1988,4.5,7.6,28.2,42.9,61.4,70.4,72.5,69.3,57.8,40.9,28.6,14.5
MN,1989,14.4,3.6,21.3,40.2,55.3,63.2,71.8,67.5,57.1,46.0,24.0,4.8
MN,1990,20.3,16.6,30.5,42.5,52.3,65.4,67.6,67.4,59.8,43.6,32.2,11.3
MN,1991,5.8,20.4,29.2,45.8,58.6,68.0,68.2,68.8,55.8,42.1,21.5,16.7
MN,1992,17.1,22.5,29.6,39.0,57.3,61.3,61.8,62.3,55.6,43.8,26.9,13.5
MN,1993,8.0,11.6,25.5,40.4,53.6,60.7,66.0,66.6,51.6,42.1,25.2,15.8
MN,1994,-2.5,6.3,30.2,41.9,57.0,65.8,66.2,63.9,59.9,48.6,33.4,20.4
MN,1995,11.8,12.8,29.0,37.1,53.1,68.4,68.4,69.5,56.0,44.1,21.1,12.3
MN,1996,1.0,12.0,19.3,36.5,51.6,65.3,66.4,67.4,57.6,45.2,20.3,8.8
MN,1997,4.5,15.0,24.0,38.8,49.6,67.0,68.0,64.9,59.9,46.3,24.9,23.9
MN,1998,14.0,28.8,27.5,46.8,60.4,62.1,69.0,68.9,62.4,47.7,31.9,19.4
MN,1999,7.6,23.2,30.4,44.7,56.8,64.4,71.3,66.3,56.4,44.2,37.6,21.4
MN,2000,10.3,22.8,36.4,42.2,56.7,61.5,68.6,67.6,56.6,48.2,28.4,2.5
MN,2001,16.0,6.7,24.2,43.4,56.6,65.1,70.4,69.3,57.4,44.5,40.7,22.3
MN,2002,18.1,23.8,19.5,40.4,49.8,67.0,72.2,66.5,60.5,37.7,27.8,21.2
MN,2003,10.1,9.9,25.8,43.4,54.3,63.6,68.8,70.2,57.9,47.0,26.6,20.6
MN,2004,5.1,16.7,30.9,43.7,51.2,60.7,66.7,60.9,62.1,46.8,34.0,16.8
MN,2005,7.6,20.3,26.2,47.7,52.4,67.4,70.6,66.4,61.6,47.8,32.2,16.6
MN,2006,24.1,12.7,29.4,48.8,56.8,65.7,73.1,67.7,56.3,42.2,32.0,23.8
MN,2007,14.5,7.7,31.7,41.2,58.7,67.2,70.6,66.5,59.2,49.4,30.4,11.7
MN,2008,8.5,9.4,23.5,39.6,51.5,62.9,68.4,66.8,58.7,46.0,30.8,6.9
MN,2009,2.2,15.0,26.0,41.8,53.4,62.3,64.1,64.2,62.6,39.9,37.8,12.0
MN,2010,8.8,12.8,35.8,50.0,56.0,63.8,70.4,70.2,55.0,49.1,30.7,11.5
MN,2011,5.0,13.2,23.6,41.6,53.6,63.4,72.7,68.2,57.5,49.9,32.9,22.7
MN,2012,18.4,22.4,41.8,45.5,58.3,66.8,74.3,66.7,57.3,43.2,31.0,16.8
MN,2013,11.4,13.0,20.6,34.0,53.2,63.9,69.0,67.8,61.5,44.9,27.6,5.0
MN,2014,2.3,3.8,19.6,38.4,54.3,65.0,66.7,67.1,58.5,46.2,21.4,20.4
MN,2015,13.7,5.6,30.7,44.6,54.2,64.7,69.5,65.9,63.8,47.9,36.5,24.8
MN,2016,12.6,19.9,35.7,42.5,56.7,65.6,69.3,68.1,60.7,48.2,40.2,15.3
MN,2017,14.6,23.9,28.2,44.4,53.6,65.0,69.2,64.0,60.8,47.1,27.4,13.4
MN,2018,10.4,8.6,27.5,32.7,61.1,67.0,69.7,67.4,59.0,40.7,22.8,20.2
MN,2019,6.6,5.3,22.6,41.4,50.5,64.4,70.4,65.2,60.2,42.4,26.0,16.6
MN,2020,14.1,14.0,30.4,39.4,53.5,67.7,71.3,68.2,56.5,38.9,33.9,21.0
MN,2021,18.2,6.5,35.6,42.3,55.1,69.9,71.1,69.4,61.6,51.5,32.2,18.2
MN,2022,3.6,6.5,26.1,35.6,55.3,66.2,69.7,67.3,60.3,46.9,30.0,12.5
MN,2023,15.1,14.1,21.2,38.3,59.3,68.9,67.3,67.9,63.5,47.5,32.4,29.6
MN,2024,15.5,28.2,30.6,44.4,56.4,64.4,69.8,67.2,65.1,51.3,33.9,19.6
MO,1988,27.7,30.2,44.2,54.7,66.2,75.2,77.3,78.6,68.5,51.5,45.3,35.4
MO,1989,38.3,25.6,44.2,55.8,62.2,70.5,76.2,74.6,63.7,58.1,44.6,22.6
MO,1990,39.3,39.7,46.9,53.6,60.7,73.9,76.5,75.0,71.1,54.9,50.1,32.7
MO,1991,26.5,39.9,48.2,57.8,69.1,75.4,78.1,76.3,67.6,57.6,39.0,37.3
MO,1992,35.4,41.1,47.0,54.8,62.3,69.9,75.6,69.9,65.9,56.1,42.0,34.2
MO,1993,29.6,30.7,40.6,51.2,63.4,72.0,78.4,77.4,63.3,53.5,40.4,35.2
MO,1994,26.2,32.5,45.6,55.5,62.3,75.1,75.2,73.7,65.8,58.0,48.1,38.2
MO,1995,29.4,36.0,46.2,53.6,60.9,71.6,77.1,79.9,64.8,57.4,40.5,32.8
MO,1996,27.7,35.4,38.2,52.3,65.7,72.8,74.9,74.8,64.8,56.6,38.1,34.0
MO,1997,26.4,37.4,47.0,50.0,59.8,71.5,77.7,73.8,68.4,56.9,41.2,34.1
MO,1998,35.3,41.2,41.1,54.0,69.2,73.6,78.0,76.8,73.4,58.6,48.4,36.4
MO,1999,30.6,42.4,42.3,56.9,63.8,72.6,80.0,75.6,66.5,56.9,52.0,36.8
MO,2000,33.0,42.2,48.2,54.4,67.2,71.2,76.1,79.5,69.0,60.1,39.8,21.1
MO,2001,29.4,34.3,40.1,60.5,65.9,71.7,78.9,77.2,66.3,55.8,51.1,38.5
MO,2002,35.1,37.3,40.5,57.3,61.4,74.7,79.0,76.9,70.8,53.1,42.0,35.7
MO,2003,27.4,31.2,44.6,56.7,63.5,69.2,78.1,78.8,64.8,57.2,46.3,36.2
MO,2004,29.8,33.1,48.3,56.2,67.0,70.8,74.3,70.7,68.5,58.4,47.8,34.7
MO,2005,33.3,40.1,43.4,56.8,63.2,75.2,78.0,77.8,72.0,56.9,47.3,30.8
MO,2006,41.2,34.2,45.9,60.9,64.6,73.5,78.9,78.4,64.9,53.8,46.5,38.2
MO,2007,31.7,29.4,53.0,52.3,68.3,73.4,75.9,81.3,70.5,60.0,45.2,33.2
MO,2008,30.8,31.0,43.2,52.2,62.4,73.5,76.6,73.9,67.2,55.7,43.7,31.0
MO,2009,27.7,38.4,46.5,53.4,63.8,74.6,72.8,72.6,66.6,50.9,49.8,30.6
MO,2010,25.5,28.4,45.0,60.5,64.5,77.3,79.1,79.0,68.8,58.3,46.5,29.6
MO,2011,26.7,33.2,45.1,56.8,62.8,75.8,82.7,77.8,64.8,57.2,47.4,37.4
MO,2012,36.3,39.9,58.1,59.0,69.5,74.8,83.6,76.2,67.0,54.3,45.1,38.8
MO,2013,33.8,34.4,38.3,52.1,63.4,73.0,75.0,74.6,70.7,55.9,41.8,30.3
MO,2014,25.8,26.5,39.5,55.1,65.3,73.7,72.6,76.6,67.1,57.8,37.8,36.7
MO,2015,31.2,26.2,44.5,57.7,64.8,74.3,77.4,73.4,71.6,57.7,48.9,42.4
MO,2016,30.9,39.1,50.4,57.3,62.7,76.9,78.1,76.7,71.7,62.1,51.0,32.4
MO,2017,35.4,45.1,48.4,58.5,64.1,73.5,78.8,72.1,70.4,59.0,46.2,34.3
MO,2018,28.0,35.6,44.0,48.2,72.5,77.4,78.2,76.4,71.3,56.4,37.6,36.8
MO,2019,31.0,33.0,40.9,56.7,64.5,72.4,77.6,75.3,74.8,54.3,40.2,39.0
MO,2020,34.5,35.4,48.8,53.1,62.0,75.1,79.2,74.2,67.3,53.6,49.6,36.3
MO,2021,33.6,24.4,49.9,54.2,62.3,74.9,76.7,77.4,71.5,60.5,45.5,44.7
MO,2022,28.4,32.5,46.1,53.0,65.9,75.3,79.8,76.4,69.5,56.0,44.3,33.1
MO,2023,37.2,39.9,43.8,56.2,66.1,73.9,77.9,76.5,70.4,58.8,46.2,41.9
MO,2024,27.8,45.3,49.9,58.6,68.0,75.8,76.1,75.8,69.9,61.4,48.8,37.9
NE,1988,17.4,25.5,38.2,48.2,62.1,74.8,74.2,74.0,62.9,48.9,38.4,30.5
NE,1989,31.1,17.2,35.2,51.0,59.0,66.0,75.2,72.0,61.0,51.4,37.2,19.5
NE,1990,31.9,29.8,39.2,48.0,55.9,71.0,72.5,72.7,67.0,50.8,40.2,20.9
NE,1991,19.9,36.4,40.1,49.8,61.0,71.6,74.3,73.1,63.7,49.5,30.5,31.5
NE,1992,31.5,36.8,41.9,48.6,59.7,65.2,68.1,66.9,62.5,50.8,32.3,22.8
NE,1993,18.2,19.1,35.9,45.5,58.1,65.3,70.8,70.7,57.7,48.9,31.8,29.9
NE,1994,21.8,21.0,40.8,48.2,62.1,71.0,70.7,71.8,64.5,52.2,37.6,29.0
NE,1995,24.8,33.5,37.0,43.5,52.6,66.6,74.0,76.1,61.3,49.6,36.0,27.7
NE,1996,19.0,29.8,31.0,47.3,56.4,69.5,71.8,70.6,60.3,50.8,30.0,22.8
NE,1997,21.2,29.4,40.2,42.4,55.2,69.4,74.2,71.0,64.9,51.6,34.6,29.4
NE,1998,26.6,35.2,31.8,47.4,61.9,65.0,75.2,73.4,69.1,51.7,40.6,29.3
NE,1999,26.4,37.0,39.2,47.1,58.2,66.9,76.1,71.8,60.3,51.2,45.0,32.5
NE,2000,28.6,35.0,41.9,48.7,61.6,67.6,75.2,76.4,64.5,52.7,28.2,18.7
NE,2001,27.5,22.0,35.8,50.6,59.8,68.5,77.1,73.9,63.6,51.0,43.9,30.3
NE,2002,29.5,31.8,30.1,49.9,56.0,73.9,78.3,73.0,64.3,44.4,37.1,31.8
NE,2003,26.9,25.0,38.7,50.5,57.4,66.1,76.4,75.5,61.1,54.6,34.7,30.5
NE,2004,24.0,26.3,43.1,50.5,60.4,65.2,71.7,68.5,66.2,52.3,38.7,30.8
NE,2005,23.1,34.4,39.4,49.7,57.8,70.0,75.9,72.6,67.5,51.9,41.1,25.0
NE,2006,37.1,28.1,36.8,53.3,61.2,71.8,77.4,72.8,58.8,48.0,37.6,30.2
NE,2007,21.6,23.1,45.6,46.4,62.1,69.2,76.1,75.6,64.7,53.6,39.5,22.0
NE,2008,21.3,26.2,37.4,44.6,56.3,67.5,75.0,71.4,62.2,50.2,38.9,21.3
NE,2009,25.5,31.8,37.4,46.1,59.1,66.8,70.2,69.4,61.8,42.3,42.2,18.6
NE,2010,22.1,23.0,39.7,51.7,56.3,69.6,74.5,74.8,63.6,54.0,36.7,26.1
NE,2011,20.4,24.5,37.1,47.5,56.0,68.2,77.7,73.9,60.6,52.7,38.2,28.6
NE,2012,30.4,29.3,50.8,53.5,62.3,73.4,80.0,73.0,64.0,48.2,40.0,27.6
NE,2013,25.5,28.8,34.8,42.5,58.5,68.8,73.2,73.8,68.0,48.8,36.0,22.8
NE,2014,25.4,20.8,35.4,48.3,58.5,68.1,71.2,72.2,62.9,53.2,32.2,28.0
NE,2015,27.2,26.1,42.9,50.5,56.2,69.8,73.3,70.9,68.6,54.3,40.1,29.7
NE,2016,26.0,35.0,43.9,49.9,57.2,73.3,74.2,71.8,65.0,55.4,44.3,23.8
NE,2017,24.8,35.4,42.2,49.7,57.0,70.7,76.8,69.0,65.0,50.9,39.9,26.6
NE,2018,23.0,21.7,38.5,41.2,63.8,72.2,73.4,70.8,65.7,47.2,33.5,28.1
