state_code,division,year,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12
2,0,1944,44.0,0.76,2.16,1.05,0.78,0.51,0.05,0.92,1.23,1.33,0.57,1.68
2,0,1945,45.0,1.08,0.54,1.94,0.18,0.04,0.06,1.95,2.32,0.2,1.06,0.02
2,0,1946,46.0,1.03,0.21,0.56,0.71,0.1,0.05,2.13,2.62,2.1,0.83,1.33
2,0,1947,47.0,0.29,0.22,0.12,0.05,0.66,0.13,0.79,2.91,0.6,1.19,0.75
2,0,1948,48.0,0.16,1.36,0.92,0.11,0.04,0.32,1.37,1.88,0.65,1.2,0.03
2,0,1949,49.0,2.89,0.58,0.54,0.4,0.31,0.73,1.77,1.22,1.52,1.02,0.36
2,0,1950,50.0,0.53,0.91,0.49,0.03,0.09,0.32,2.84,0.82,0.78,0.03,0.14
2,0,1951,51.0,1.34,0.46,0.5,1.42,0.43,0.0,1.48,4.22,0.53,1.36,0.95
2,0,1952,52.0,1.71,0.34,2.27,1.69,0.07,0.64,1.6,1.75,1.24,0.0,1.97
2,0,1953,53.0,0.25,0.56,0.92,0.54,0.11,0.18,3.0,1.74,0.01,0.22,0.39
2,0,1954,54.0,1.25,0.55,2.4,0.05,0.48,0.52,2.46,1.84,1.37,0.37,0.12
2,0,1955,55.0,1.91,0.49,0.09,0.15,0.16,0.73,2.91,3.49,0.08,0.26,0.5
2,0,1956,56.0,1.01,0.58,0.04,0.36,0.14,0.31,1.8,1.02,0.07,0.51,0.02
2,0,1957,57.0,2.82,0.63,0.89,0.5,0.94,0.52,1.78,2.63,0.05,2.62,0.91
2,0,1958,58.0,0.25,1.7,2.39,1.0,0.4,0.39,1.13,2.17,2.52,0.99,0.69
2,0,1959,59.0,0.25,1.31,0.01,0.39,0.11,0.36,1.76,3.12,0.27,2.03,0.71
2,0,1960,60.0,1.55,0.79,0.49,0.24,0.27,0.18,0.92,1.31,1.11,1.85,0.49
2,0,1961,61.0,0.72,0.14,1.2,0.19,0.07,0.17,1.61,2.87,1.1,0.93,0.65
2,0,1962,62.0,1.44,1.25,0.76,0.04,0.12,0.33,1.05,0.62,1.96,0.82,0.72
2,0,1963,63.0,0.64,1.18,0.64,0.44,0.01,0.03,0.82,3.88,1.38,1.1,1.28
2,0,1964,64.0,0.34,0.14,1.1,0.72,0.15,0.19,2.23,2.41,1.76,0.36,0.8
2,0,1965,65.0,1.47,1.28,1.16,1.58,0.61,0.39,1.98,1.34,1.34,0.36,1.78
2,0,1966,66.0,0.76,1.25,0.32,0.15,0.11,0.34,1.81,2.02,1.63,0.6,0.77
2,0,1967,67.0,0.38,0.08,0.54,0.41,0.37,0.55,2.65,2.37,1.73,0.27,0.91
2,0,1968,68.0,0.5,0.94,1.07,0.51,0.14,0.24,2.31,1.96,0.12,0.66,0.79
2,0,1969,69.0,1.65,1.18,0.83,0.11,0.74,0.12,2.01,2.0,1.23,0.87,1.2
2,0,1970,70.0,0.22,0.42,2.49,0.41,0.04,0.18,1.61,2.24,1.91,0.44,0.41
2,0,1971,71.0,0.17,0.7,0.1,0.32,0.34,0.03,1.2,3.57,1.5,1.81,0.43
2,0,1972,72.0,0.02,0.01,0.01,0.11,0.2,1.01,1.15,1.71,0.93,4.21,1.29
2,0,1973,73.0,0.73,2.02,3.16,0.34,0.65,0.53,1.33,1.06,0.11,0.03,0.88
2,0,1974,74.0,1.76,0.14,0.8,0.16,0.02,0.02,2.3,1.26,1.12,2.32,0.52
2,0,1975,75.0,0.57,0.72,1.46,0.82,0.16,0.03,2.15,0.63,1.58,0.2,1.01
2,0,1976,76.0,0.16,1.89,0.54,1.04,0.87,0.08,2.45,0.71,2.34,0.82,0.36
2,0,1977,77.0,1.27,0.21,0.47,0.39,0.41,0.34,1.79,1.97,1.32,1.21,0.35
2,0,1978,78.0,2.92,2.31,2.85,0.56,0.51,0.13,1.14,1.31,0.67,1.54,3.14
2,0,1979,79.0,3.04,0.72,2.03,0.18,1.04,0.35,1.03,1.91,0.18,0.55,0.5
2,0,1980,80.0,2.75,3.52,1.57,0.61,0.36,0.1,1.4,1.51,0.86,0.45,0.08
2,0,1981,81.0,0.72,0.76,2.05,0.48,0.62,0.44,2.04,1.76,1.23,1.09,1.23
2,0,1982,82.0,1.62,1.36,1.88,0.25,0.91,0.05,1.43,2.93,1.48,0.15,2.02
2,0,1983,83.0,1.28,1.42,2.9,0.6,0.09,0.06,1.88,3.0,3.32,1.79,1.16
2,0,1984,84.0,0.45,0.09,0.37,0.6,0.12,0.47,3.46,3.14,1.72,1.09,0.93
2,0,1985,85.0,1.54,0.97,1.1,1.03,0.17,0.13,1.89,0.97,1.87,1.51,2.33
