,state,year,p_jan,p_feb,p_mar,p_apr,p_may,p_jun,p_jul,p_aug,p_sep,p_oct,p_nov,p_dec
247,OH,2013,2.61,1.88,2.42,3.84,2.28,5.92,6.68,2.7,2.63,3.64,2.96,4.13
248,OH,2014,2.08,2.6,2.0,5.28,3.98,5.42,3.45,4.14,2.19,2.97,1.93,2.52
249,OH,2015,2.46,1.47,3.52,4.58,3.34,8.03,4.75,2.49,3.07,2.76,2.24,4.3
250,OH,2016,1.34,3.24,4.01,3.4,3.4,3.29,3.23,4.2,3.72,2.93,1.31,3.32
251,OH,2017,4.06,2.03,4.5,4.06,5.29,4.62,6.29,2.32,1.86,3.77,5.14,1.56
252,OH,2018,2.31,5.4,3.3,4.63,4.0,5.5,3.26,4.96,6.3,2.77,5.16,3.34
253,OH,2019,3.42,4.69,3.54,4.31,4.82,6.76,4.45,3.64,1.74,3.8,2.19,3.51
254,OH,2020,3.51,2.98,4.98,3.66,5.1,3.12,3.16,3.71,3.18,4.19,2.51,2.21
255,OH,2021,1.98,2.03,2.98,2.88,3.79,4.25,5.66,4.29,3.79,4.64,1.56,3.83
256,OH,2022,2.32,4.83,2.82,2.96,5.39,3.82,5.06,4.09,3.06,1.38,2.8,1.71
257,OH,2023,4.23,2.33,4.17,3.2,2.29,3.29,5.22,4.75,0.97,3.24,1.6,2.46
258,OH,2024,4.37,1.39,3.0,5.57,4.27,2.6,3.15,2.51,3.4,0.76,3.25,3.61
